status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
206630642689393_1465297543489357,Yes,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1465297543489357/?type=3,2017-02-26 00:00:02,17,0,12,15,2,0,0,0,0
206630642689393_1465297373489374,FYI,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1465297373489374/?type=3,2017-02-25 23:00:00,92,1,48,79,12,0,1,0,0
206630642689393_1464185533600558,Of course it is ok,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464185533600558/?type=3,2017-02-25 22:30:01,91,2,2,79,12,0,0,0,0
206630642689393_1464184560267322,Awww,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464184560267322/?type=3,2017-02-25 22:00:01,238,3,68,181,57,0,0,0,0
206630642689393_1464323473586764,They are the cutest couple ever!,Adorable Gay Penguins Celebrate 10 Years Together,link,http://www.lgbtqbuzz.com/adorable-gay-penguins-celebrate-10-years-together/,2017-02-25 21:30:01,56,0,11,40,16,0,0,0,0
206630642689393_1465297230156055,Exactly,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1465297230156055/?type=3,2017-02-25 21:00:00,181,2,90,168,13,0,0,0,0
206630642689393_1464323343586777,Bravo Vogue!,You Have To See The Cover Of French Vogue With Its First Transgender Cover Model,link,http://www.lgbtqbuzz.com/see-cover-french-vogue-first-transgender-cover-model/,2017-02-25 20:30:00,61,0,10,54,7,0,0,0,0
206630642689393_1465297016822743,There is always a reason,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1465297016822743/?type=3,2017-02-25 20:00:00,63,0,34,58,5,0,0,0,0
206630642689393_1464323060253472,Click to see it!,Brilliant New Ad Urges LGBT People To 'Hold Tight',link,http://www.lgbtqbuzz.com/brilliant-new-ad-urges-lgbt-people-hold-tight/,2017-02-25 19:30:00,231,5,104,163,68,0,0,0,0
206630642689393_1465296806822764,Yes,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1465296806822764/?type=3,2017-02-25 19:00:00,76,2,34,69,7,0,0,0,0
206630642689393_1464322853586826,Love defeats everything,Here Come 10 Powerful Quotes About The Power Of Love,link,http://www.lgbtqbuzz.com/come-10-powerful-quotes-power-love/,2017-02-25 18:30:00,3,0,1,2,1,0,0,0,0
206630642689393_1465296630156115,Always!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1465296630156115/?type=3,2017-02-25 18:00:00,91,1,44,78,12,0,1,0,0
206630642689393_1464322640253514,Click to see the images!,This Trans Woman And Her Husband Did A Photo Shoot And This Is What I Call Pure Love,link,http://www.lgbtqbuzz.com/trans-woman-husband-photo-shoot-call-pure-love/,2017-02-25 17:30:00,119,0,5,94,24,0,1,0,0
206630642689393_1465296380156140,A great idea,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1465296380156140/?type=3,2017-02-25 17:00:00,83,2,42,74,7,0,0,2,0
206630642689393_1464322480253530,Sit back and laugh hard!,Here Come 10 Tumblr Posts That You Can Relate To If You're Lesbian,link,http://www.lgbtqbuzz.com/come-10-tumblr-posts-can-relate-youre-lesbian/,2017-02-25 16:30:00,49,4,4,42,7,0,0,0,0
206630642689393_1464185676933877,Congrats!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464185676933877/?type=3,2017-02-25 16:00:01,99,1,7,80,19,0,0,0,0
206630642689393_1464322353586876,She is very upset actually.,Sara Ramirez Has Her Opinion On  Real O'Neals For Its Biphobic Joke,link,http://www.lgbtqbuzz.com/sara-ramirez-opinion-real-oneals-biphobic-joke/,2017-02-25 15:30:00,23,2,2,22,1,0,0,0,0
206630642689393_1464821823536929,You won`t believe your eyes!,7 Bizarre Restrictions On Women`s Rights Around The Globe You Won`t Even Believe Are Real - BuzzFanzine,link,http://www.buzzfanzine.com/7-bizarre-restrictions-womens-rights-around-globe-wont-even-believe-real,2017-02-25 15:00:01,164,9,86,44,1,3,0,47,69
206630642689393_1464185300267248,Thank You!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464185300267248/?type=3,2017-02-25 14:00:02,137,8,8,98,23,0,16,0,0
206630642689393_1464185070267271,It's a good one,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464185070267271/?type=3,2017-02-25 13:00:03,273,5,34,222,42,1,8,0,0
206630642689393_1464184866933958,Awww,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464184866933958/?type=3,2017-02-25 12:08:53,2246,24,327,1463,743,2,36,2,0
206630642689393_1464820750203703,Powerful!,A Makeup Artist Spreads Awareness About The Brutal Reality of Domestic Violence - BuzzFanzine,link,http://www.buzzfanzine.com/makeup-artist-spreads-awareness-brutal-reality-domestic-violence/,2017-02-25 11:00:04,134,0,50,86,8,3,0,33,4
206630642689393_1464183883600723,She is so right!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464183883600723/?type=3,2017-02-25 10:00:05,199,0,29,160,39,0,0,0,0
206630642689393_1464183536934091,Did you know?,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464183536934091/?type=3,2017-02-25 09:00:01,2430,14,623,1910,435,72,0,13,0
206630642689393_1464183200267458,FYI,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464183200267458/?type=3,2017-02-25 08:00:04,609,14,376,524,77,0,4,2,2
206630642689393_1464182916934153,You see?,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464182916934153/?type=3,2017-02-25 07:00:02,197,9,92,164,18,0,14,0,1
206630642689393_1464182690267509,Yes!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464182690267509/?type=3,2017-02-25 06:00:00,219,6,32,178,33,0,8,0,0
206630642689393_1464182476934197,Try it!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464182476934197/?type=3,2017-02-25 05:00:02,99,5,19,89,10,0,0,0,0
206630642689393_1464182223600889,Yes,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464182223600889/?type=3,2017-02-25 04:00:00,566,9,163,483,78,0,4,0,1
206630642689393_1464181970267581,Yes you are!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464181970267581/?type=3,2017-02-25 03:00:01,48,2,9,43,5,0,0,0,0
206630642689393_1464181740267604,Yes,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464181740267604/?type=3,2017-02-25 02:00:01,366,3,147,312,52,0,0,2,0
206630642689393_1464181570267621,As quiclky as possible,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464181570267621/?type=3,2017-02-25 01:00:01,81,6,24,74,5,0,0,2,0
206630642689393_1464317703587341,Photographer  Lisa White had two special goals when she decided to capture older LGBT women. First to demonstrate that beauty has no age and second…,You Have To See This Amazingly Beautiful Portraits Of Older LGBT Women,link,http://rainbowery.com/you-have-to-see-this-amazingly-beautiful-portraits-of-older-lgbt-women/,2017-02-25 00:00:03,58,2,6,47,11,0,0,0,0
206630642689393_1464181410267637,Yes,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464181410267637/?type=3,2017-02-25 00:00:01,80,0,13,69,9,0,2,0,0
206630642689393_1464181206934324,Totally agreed,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464181206934324/?type=3,2017-02-24 23:00:00,319,1,50,276,41,0,2,0,0
206630642689393_1464317193587392,Bisexual actor Nico Tortorella opens up  about the break-up of a toxic relationship – the hardest break-up of his life.,Bisexual Actor Nico Tortorella Shares His Hardest Break-up Story,link,http://rainbowery.com/bisexual-actor-nico-tortorella-shares-his-hardest-break-up-story/,2017-02-24 22:00:01,61,1,7,53,8,0,0,0,0
206630642689393_1464180823601029,Have a beautiful day everyday!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464180823601029/?type=3,2017-02-24 22:00:00,180,4,80,140,40,0,0,0,0
206630642689393_1464322053586906,Amazing news!,Same-Sex Marriage Can Be Legalized Soon In Malta,link,http://www.lgbtqbuzz.com/sex-marriage-can-legalized-soon-malta/,2017-02-24 21:30:00,446,3,17,376,69,1,0,0,0
206630642689393_1464180666934378,Exactly!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464180666934378/?type=3,2017-02-24 21:00:01,260,5,43,235,23,0,2,0,0
206630642689393_1464321920253586,'I just didn't want to live that way',TR Knight Shares Why He Came Out Of The Closet,link,http://www.lgbtqbuzz.com/tr-knight-shares-came-closet/,2017-02-24 20:30:00,50,2,4,43,7,0,0,0,0
206630642689393_1464180390267739,Yes!!!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464180390267739/?type=3,2017-02-24 20:00:31,249,8,40,208,41,0,0,0,0
206630642689393_1464316793587432,Kami Sid is one of Pakistan's leading trans rights activists. Now she has decided to start a modeling career as well. This marks her the country's first transgender model. She is really beautiful!,Here comes the first stunning trans model of Pakistan,link,http://rainbowery.com/comes-first-stunning-trans-model-pakistan/,2017-02-24 20:00:02,238,0,15,191,46,1,0,0,0
206630642689393_1462997873719324,Still very funny,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1462997873719324/?type=3,2017-02-24 20:00:01,256,15,68,156,3,0,96,0,1
206630642689393_1464321756920269,Click for epic cuteness!,Madonna's Twins Are More Adorable Than You Would Have Ever Thought,link,http://www.lgbtqbuzz.com/madonnas-twins-adorable-ever-thought/,2017-02-24 19:30:00,44,1,1,41,3,0,0,0,0
206630642689393_1463837663635345,Agreed,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1463837663635345/?type=3,2017-02-24 19:00:02,396,5,97,353,42,0,1,0,0
206630642689393_1464180126934432,Yes!,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1464180126934432/?type=3,2017-02-24 19:00:01,80,1,17,65,15,0,0,0,0
206630642689393_1464321576920287,Are they serious?,The Right Wing Accuses The Lego Batman Movie For Promoting Gay Propaganda,link,http://www.lgbtqbuzz.com/right-wing-accuses-lego-batman-movie-promoting-gay-propaganda/,2017-02-24 18:30:00,260,39,53,86,3,7,154,0,10
206630642689393_1463838460301932,Yes,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1463838460301932/?type=3,2017-02-24 18:00:01,662,4,197,559,100,0,3,0,0
206630642689393_1464321350253643,'This is extremely personal for me because my great-grandparents and many other of my relatives are buried there in that cemetery',Andy Cohen Raises His Voice Against Vandalism At Jewish Cemetery,link,http://www.lgbtqbuzz.com/andy-cohen-raises-voice-vandalism-jewish-cemetery/,2017-02-24 17:30:00,17,0,1,16,0,0,0,1,0
206630642689393_1463838213635290,Just so you know,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1463838213635290/?type=3,2017-02-24 17:00:00,321,26,65,286,33,0,2,0,0
206630642689393_1464320973587014,The happy chose one  is Glennon Doyle Melton,Soccer Star Abby Wambach Is Engaged!,link,http://www.lgbtqbuzz.com/soccer-star-abby-wambach-engaged/,2017-02-24 16:30:07,60,0,4,55,5,0,0,0,0
206630642689393_1463838013635310,Yes,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1463838013635310/?type=3,2017-02-24 16:00:02,409,7,80,334,35,1,39,0,0
206630642689393_1463975790288199,What happened to her is actually the worst case scenario for long term weight loss!!!!!!,"What ""The Biggest Loser"" Did To The Bodies of The Winners Is Simply Horrifying - BuzzFanzine",link,http://www.buzzfanzine.com/biggest-loser-bodies-winners-simply-horrifying/,2017-02-24 15:00:02,59,9,10,34,2,9,0,12,2
206630642689393_1463837513635360,Haha,Timeline Photos,photo,https://www.facebook.com/NEWSLGBT/photos/a.220530961299361.64933.206630642689393/1463837513635360/?type=3,2017-02-24 14:00:01,470,20,158,354,20,4,92,0,0
