status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
128522530498035_1628243273859279,As the biggest names in the entertainment industry gather for the Academy Awards they'll be joined on the red carpet by three villagers from Vanuatu who will be dressed in traditional grass skirts and sheaths.,Stars of Tanna embracing the limelight at Oscars Award ceremony in Los Angeles,link,http://www.abc.net.au/news/2017-02-27/stars-of-tanna-embracing-the-limelight-at-oscars/8305836,2017-02-26 17:48:45,8,0,2,6,2,0,0,0,0
128522530498035_1626688694014737,"Papua New Guinea's only cancer treatment centre at Angau Hospital in Lae has been caught in the middle of a media storm, with many taking to Facebook to complain that there is not enough funding for equipment and drugs to treat the patients there.

The CEO of Angau, Dr Christopher Kenyhercz told Pacific Beat this week that the media's coverage of the situation at the centre was mostly negative and unhelpful, and time would be better spent spreading awareness on how to recognise cancer symptoms early.

EMTV Journalist Scott Waide, who is based in Lae, says he agrees with Dr Kenyhercz that there are not enough messages on cancer prevention in PNG.

But he says the stories of the people suffering from cancer still need to be heard.

Listen here: http://ausp.lu/2lG5IaF",Public debate over Lae Cancer Centre continuing to divide opinion in PNG,link,http://ausp.lu/2lG5IaF,2017-02-25 06:00:09,13,0,4,13,0,0,0,0,0
128522530498035_1625487740801499,"It's a problem that people worldwide are scrambling to address - how to stop the widespread death of coral reefs due to climate change and pollution.

With research from the World Resources Institute showing that all coral reefs could be under threat by 2050, one proposal is suggesting conservationists focus their efforts on the reefs least likely to die.

The 50 Reefs project aims to bring scientists together to identify the 50 reefs around the world that are the least vulnerable to climate change.

It's hoped that by doing this, those areas can then be properly protected and will one day replenish the reefs that have died off.

It's an initiative by The Ocean Agency, a not-for-profit organisation focused on communicating the need for ocean conservation.

Listen to Professor Ove Hoegh-Guldberg , The Ocean Agency's chief scientist and the director of the Global Change Institute at the University of Queensland, talk about the project:  http://ausp.lu/2l6kipW",Timeline Photos,photo,https://www.facebook.com/RadioAustralia/photos/a.230024090347878.75891.128522530498035/1625487740801499/?type=3,2017-02-24 01:55:11,17,0,1,15,0,0,0,2,0
128522530498035_1625471400803133,"Australia's former trade minister, Andrew Robb, says Australia should not be distracted by the Trump presidency as it prepares the first Foreign Policy White Paper in 14 years.

Mr Robb now works for the Chinese company that controls Darwin Port and is also chairman of Asialink, at Melbourne University.

He says Australia should take a long-term view and focus on the changes taking place across Asia.

The White Paper is intended to provide a roadmap for advancing and protecting Australia's international interests and to define how the nation engages with the world. Public submissions are invited and close next week.

What do you think Australia's foreign policy priorities should be in coming years?",Andrew Robb on Australia's Foreign Policy White Paper,video,https://www.facebook.com/RadioAustralia/videos/1625471400803133/,2017-02-24 01:39:54,18,2,1,14,0,1,0,1,2
128522530498035_1625233750826898,"""If you want to say something... let's get the word out for people to seek preventative measures so we can treat cancer early.""",Change of attitude needed in PNG to move forward in cancer prevention: Angau Hospital CEO,link,http://www.abc.net.au/news/2017-02-23/change-in-attitude-needed-in-png-to-move-forward/8299882,2017-02-23 22:51:00,21,0,2,21,0,0,0,0,0
128522530498035_1625275817489358,"A group of chubby Siberian tigers have been put through an unusual workout regime in an effort to shed a few extra kilos.

But they may have been a tad quicker than their keepers first thought.",,video,https://www.facebook.com/RadioAustralia/videos/1625275817489358/,2017-02-23 20:42:49,66,7,15,50,4,1,10,0,1
128522530498035_1625218654161741,"Pacific rivals Vanuatu and Fiji will battle it out at the World Cricket League qualifying final in Bendigo tomorrow!

Vanuatu are the hot favourites, but Fiji will be their toughest test so far in the tournament.

http://ab.co/2lf4L8g",Timeline Photos,photo,https://www.facebook.com/RadioAustralia/photos/a.230024090347878.75891.128522530498035/1625218654161741/?type=3,2017-02-23 19:15:03,17,1,5,17,0,0,0,0,0
128522530498035_1624277044255902,"Vice Chancellor of the University of Technology, Albert Schram says it's time to put a stop to ethnic divisions within the student body.",Lae Unitech suspends Student Council to promote campus unity in 2017,link,http://www.abc.net.au/news/2017-02-23/lae-unitech-suspends-student-council-to-promote/8296182,2017-02-22 22:22:00,20,2,2,20,0,0,0,0,0
128522530498035_1624268980923375,"Papua New Guinea's star sprinter Toea Wisil has had a cracking start to 2017.

She set a new national record winning the 200 metres at the ACT Championships in Canberra last weekend, and then defeated the Australian number one Melissa Breen in the 100 metres final, in a new personal best time of 11.29 seconds.",Pacific track queen Toea Wisil better for her Rio Olympic experience,link,http://www.abc.net.au/news/2017-02-23/pacific-track-queen-toea-wisil-better-for-her-rio/8296194,2017-02-22 19:58:48,56,5,11,52,2,2,0,0,0
128522530498035_1623219797694960,"Has Papua New Guinea striker, Nigel Dabinyaba, opened a door for other PNG soccer players ? Two goals in his first two full appearances as a pro in Malaysia is an encouraging start, and if the momentum continues, perhaps more clubs will be casting their eyes over promising young Kapuls.

http://ab.co/2lsDK2b",Timeline Photos,photo,https://www.facebook.com/RadioAustralia/photos/a.230024090347878.75891.128522530498035/1623219797694960/?type=3,2017-02-21 20:30:00,84,1,19,76,7,1,0,0,0
