status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
132603530106114_1501286606571126,Did we take your picture at Symphony Under the Stars?,Social Networks | Symphony Under the Stars,link,http://www.examiner.com.au/story/4493138/social-networks-symphony-under-the-stars/?cs=2596,2017-02-26 05:35:00,5,0,0,5,0,0,0,0,0
132603530106114_1501274073239046,Attention history buffs! Here are the details of this year's John West Memorial Lecture.,City's past and future,link,http://www.examiner.com.au/story/4492382/citys-past-and-future/?cs=5312,2017-02-26 04:50:00,6,2,2,6,0,0,0,0,0
132603530106114_1501231046576682,Goat Fest Tasmania 2017 was held in Launceston for the first time today.,"A festival that's goat it all | photos, video",link,http://www.examiner.com.au/story/4492398/a-festival-thats-goat-it-all-photos-video/?cs=5312,2017-02-26 04:01:00,53,29,6,51,1,0,0,0,1
132603530106114_1500269430006177,"If you fancy an island change, there are plenty of jobs going on King Island.",Jobs galore but housing short on island,link,http://www.examiner.com.au/story/4491453/jobs-galore-but-housing-short-on-island/?cs=133,2017-02-26 03:03:00,141,39,73,132,3,6,0,0,0
132603530106114_1500268933339560,We get the inside scoop on what Sir Elton John likes to get up to on his trips to Australia.,The man behind Elton John's tour,link,http://www.examiner.com.au/story/4492066/the-man-behind-elton-johns-tour-photos/?cs=2596,2017-02-26 02:23:00,2,1,0,2,0,0,0,0,0
132603530106114_1501175376582249,British Antiques Roadshow expert down under,A journey down our canal history,link,http://www.examiner.com.au/story/4488360/a-journey-down-our-canal-history/?cs=5312,2017-02-26 01:43:00,14,1,1,13,1,0,0,0,0
132603530106114_1501174776582309,Encore Theatre Company have turned the Princess Theatre Launceston green...,"Princess Theatre turns Wicked green | Videos, Photos",link,http://www.examiner.com.au/story/4492390/princess-theatre-turns-wicked-green/?cs=5312,2017-02-26 01:03:15,52,1,20,43,7,1,1,0,0
132603530106114_1501145763251877,Tasmanian Magpies return to form overnight to record a thrilling Australian Netball League win.,Pies strike back in gutsy win,link,http://www.examiner.com.au/story/4492422/pies-strike-back-in-gutsy-win/?cs=96,2017-02-26 00:04:06,12,0,0,12,0,0,0,0,0
132603530106114_1501123036587483,Marmosets Tam and Carly arrived in Launceston on Monday.,"New monkey's birthday bash | video, photos",link,http://www.examiner.com.au/story/4492676/new-monkeys-birthday-bash-video-photos/?cs=5312,2017-02-25 23:30:45,25,2,2,22,3,0,0,0,0
132603530106114_1501122943254159,Did you notice an influx of cute miniature princesses in Launceston on Sunday?,"Launceston gets taken over by princesses | Videos, Photos",link,http://www.examiner.com.au/story/4492380/launceston-gets-taken-over-by-princesses-videos-photos/?cs=5312,2017-02-25 23:30:21,34,8,1,33,1,0,0,0,0
