status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
129011692114_10154198337542115,'I keep doing it' declares Wembley hero Ibrahimovic. http://str.sg/4nQn,Football: Zlatan Ibrahimovic double downs Saints as Manchester United take League Cup,link,http://str.sg/4nQn,2017-02-26 14:27:27,23,0,2,21,2,0,0,0,0
129011692114_10154198330857115,England's hard-fought 36-15 win against Italy was their 17th victory in a row. http://str.sg/4nQe,Rugby: England Grand Slam dream alive after Italy scare,link,http://str.sg/4nQe,2017-02-26 14:24:39,1,0,1,1,0,0,0,0,0
129011692114_10154198097857115,"Bill Paxton, a familiar face in Hollywood blockbusters such as Aliens and Titanic has died, his family said Sunday. http://str.sg/4nQA",Actor Bill Paxton of Titanic fame dies at age 61,link,http://str.sg/4nQA,2017-02-26 12:00:30,34,1,13,14,0,0,0,20,0
129011692114_10154198064832115,Militants in the Philippines have reportedly beheaded Jurgen Kantner http://str.sg/4nQM,Abu Sayyaf beheads German hostage,link,http://str.sg/4nQM,2017-02-26 11:38:59,452,52,139,105,3,22,4,118,200
129011692114_10154198007122115,"Armyworms may march towards Asia
http://str.sg/4nQY","Crop-destroying armyworms ravage parts of Africa, could spread to tropical Asia - UN",link,http://str.sg/4nQY,2017-02-26 10:58:35,20,2,9,14,0,0,1,4,1
129011692114_10154197946092115,Recognise any of these faces from your latest blockbuster or hit TV series?,Bollywood stars making it big in Hollywood,link,http://www.straitstimes.com/lifestyle/entertainment/bollywood-stars-making-it-big-in-hollywood?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488116320,2017-02-26 10:15:35,56,1,3,52,4,0,0,0,0
129011692114_10154197891647115,"US authorities have arrested a 51-year-old who allegedly told the men ""Get out of my country!"" before opening fire, killing one and wounding another.",India demands 'strongest action' from US after Kansas killing,link,http://str.sg/4nQp,2017-02-26 10:00:02,56,14,9,41,0,4,3,2,6
129011692114_10154197905982115,"The choir performance marked the start of the annual charity event, which will be raising funds for 52 organisations.","Concert raises $22,000 at launch of President's Challenge",link,http://www.straitstimes.com/singapore/concert-raises-22000-at-launch-of-presidents-challenge?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488120437,2017-02-26 09:47:20,20,0,2,17,1,0,1,1,0
129011692114_10154197850992115,"Inuka has been placed in a special senior animal care programme at the Singapore zoo, but it is still enjoying an active and happy lifestyle, say zookeepers. 

Two readers will get to spend a morning with the iconic polar bear. Details here: http://str.sg/4nQc

ST VIDEO: NG JUN SEN",,video,https://www.facebook.com/TheStraitsTimes/videos/10154197850992115/,2017-02-26 09:18:19,189,26,20,145,15,0,0,27,2
129011692114_10154197833882115,"Her death was a stark reminder of one's mortality, but it also left a legacy that continues running through ST sports journalist Chua Siang Yee's life.",How a friend's death at 26 changed me,link,http://www.straitstimes.com/opinion/how-a-friends-death-at-26-changed-me?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488103092,2017-02-26 09:00:37,538,9,185,479,19,0,0,40,0
129011692114_10154197830667115,"The covers are just about to come off the 89th Academy Awards. ST's film correspondent John Lui is in Los Angeles for the big event. Head to www.straitstimes.com to follow our live blog from 7am Monday morning.

Meanwhile, see who he thinks will win: http://str.sg/4eFG",The Straits Times's cover photo,photo,https://www.facebook.com/TheStraitsTimes/photos/a.10150580907907115.370512.129011692114/10154197830667115/?type=3,2017-02-26 08:58:00,15,3,0,13,1,0,1,0,0
129011692114_10154197808222115,"""We share similar views on most issues, and have worked well together to advance these common interests"", despite the different perspectives on some issues, said DPM Teo.",DPM Teo: Common interest between Singapore and China much greater than occasional differences,link,http://www.straitstimes.com/asia/dpm-teo-common-interest-between-singapore-and-china-much-greater-than-occasional-differences?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488116381,2017-02-26 08:39:45,53,4,8,52,1,0,0,0,0
129011692114_10154197738927115,"""It (VX agent) did it so fast that all organs were affected.""","Kim Jong Nam died 15 to 20 minutes after attack, says Malaysian minister",link,http://www.straitstimes.com/asia/kim-jong-nam-died-15-to-20-minutes-after-attack-says-malaysian-minister?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488113157,2017-02-26 08:01:27,70,11,11,51,1,8,1,9,0
129011692114_10154197711582115,"The carcass of the creature, minus the tail, measured about 6.3m, and was covered in what appeared to be white fur.",Could this be a new species? Giant white 'hairy blob' washes up in the Philippines,link,http://www.straitstimes.com/asia/se-asia/could-this-be-a-new-species-giant-white-hairy-blob-washes-up-in-the-philippines?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488104756,2017-02-26 07:51:26,175,24,28,121,6,47,1,0,0
129011692114_10154197701137115,"Under these agreements, Singapore agencies will be able to develop industry opportunities in China as they share their expertise with officials from the eco-city.",Singapore agencies sign 5 pacts for Tianjin Eco-City,link,http://www.straitstimes.com/asia/east-asia/singapore-agencies-sign-5-pacts-for-tianjin-eco-city?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488112353,2017-02-26 07:46:27,56,15,23,50,4,1,0,0,1
129011692114_10154197669272115,"The fake video of the Tuas fire was but the outer layer of a fake news ""onion"", where one peels back a layer of fake news to uncover yet more fake news.",When a real fire and a fake video collide,link,http://www.straitstimes.com/singapore/whatstrending-when-a-real-fire-and-a-fake-video-collide?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtor=CS1-10#link_time=1488110273,2017-02-26 07:32:30,119,5,18,86,4,4,24,1,0
