status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
347700997164_10154929537192165,The budget proposal would raise a breathtaking $4 billion per year.,All high earners to pay Medicare levy surcharge under budget proposal,link,http://www.canberratimes.com.au/federal-politics/political-news/all-high-earners-to-pay-medicare-levy-surcharge-under-budget-proposal-20170226-gull01.html,2017-02-26 17:55:01,14,2,2,12,0,0,0,0,2
347700997164_10154929482667165,"Two Woden buildings have sat vacant for seven years awaiting demolition. Residents have called it ""the biggest eyesore in Canberra"" but its owners say it's financially unviable to develop.",Neglected Woden site 'like something out of Detroit',link,http://www.canberratimes.com.au/act-news/wodens-wasteland-community-push-to-end-urban-decay-20170211-guaw2u.html,2017-02-26 17:11:08,9,3,1,9,0,0,0,0,0
347700997164_10154929380157165,"Bill Paxton, the affable actor who co-starred in Twister, Titanic and Apollo 13 and later starred in the critically acclaimed television drama Big Love, has died.","Actor Bill Paxton, known for roles in Big Love, Titanic, dies at 61",link,http://www.canberratimes.com.au/entertainment/movies/actor-bill-paxton-known-for-roles-in-big-love-titanic-dies-at-61-20170226-gulsoe.html,2017-02-26 16:22:42,35,2,2,11,0,3,0,21,0
347700997164_10154929248342165,"Good morning Canberra, another Monday is upon us, but at least the weather is nice. We can expect a high of 27°C today with a bit of cloud and a 20% chance of a very light shower. Much of the same in the coming days too.

Catch up with what's making news:","Canberra Now: A mystery illness, derelict buildings and one very cold bath",link,http://www.canberratimes.com.au/act-news/canberra-now-news-in-90-seconds-for-monday-february-27-2017-20170226-gult5g.html,2017-02-26 15:21:14,8,0,0,8,0,0,0,0,0
347700997164_10154927643017165,"At 14, Carly fell in love with a lie. Today, it's hard to know how many lives she's saved.",Mother of murdered teen Carly Ryan still fighting online predators,link,http://www.canberratimes.com.au/federal-politics/political-news/mother-of-murdered-teen-carly-ryan-still-fighting-online-predators-20170224-gul2bx.html,2017-02-26 05:30:00,42,0,2,26,0,0,0,16,0
347700997164_10154926918272165,"""If I didn't find something, my family would have buried me a couple of years ago,"" Troi Anthony says of his alter ego Vanity Wilde.",Troi Anthony's Canberra alter ego drags him out of the darkness,link,http://www.canberratimes.com.au/act-news/canberra-life/troi-anthonys-alter-ego-vanity-wilde-drags-him-out-of-the-darkness-20170225-gula4b.html,2017-02-26 05:00:00,6,2,1,6,0,0,0,0,0
347700997164_10154927690352165,She's grown up in the Tassie cold. So how did our reporter Emily Baker go in  -140 degree temperatures at Cryospa Canberra?,We Tried...getting frozen at Cryospa Canberra,link,http://www.canberratimes.com.au/act-news/canberra-life/we-triedgetting-frozen-at-cryospa-canberra-20170220-guh5px.html,2017-02-26 04:30:01,48,33,12,41,1,5,1,0,0
347700997164_10154927301102165,"Courtney Martin's video calling on the medical community to #HelpFindMyCure has now reached people all around the world. 
But the 24-year-old is still searching for answers.",'I'm an old lady': Canberra girl begs for diagnosis of mystery illness,link,http://www.canberratimes.com.au/act-news/canberran-courtney-martin-begs-for-a-diagnosis-on-a-debilitating-mystery-illness-doctors-cant-seem-to-solve-20170225-gul9bb.html,2017-02-26 04:00:00,98,32,26,59,3,1,0,35,0
347700997164_10154927603437165,"His film, The White Helmets, is nominated for an Oscar but Syrian cinematographer Khaled Khatib won't be at the awards to celebrate.",Netflix filmmaker whose work is up for an Oscar denied entry to US,link,http://www.canberratimes.com.au/world/syrian-cinematographer-prevented-from-attending-oscars-20170226-gulgjt.html,2017-02-26 03:30:01,58,5,6,11,0,1,0,16,30
347700997164_10154927999107165,"After Tony Abbott's latest speech, Peta Credlin has weighed in with a damning assessment of her own.","Turnbull's government 'on life support', Abbott confidante declares",link,http://www.canberratimes.com.au/federal-politics/political-news/malcolm-turnbulls-government-on-life-support-tony-abbott-confidante-declares-20170226-guln53.html,2017-02-26 02:28:55,39,19,1,26,0,3,10,0,0
347700997164_10154927810207165,"What do you think of this year's ActewAGL Royal Canberra Show? 
Let us know in the comments.","Flying pooches, giant pumpkins and more at the Royal Canberra Show",link,http://www.canberratimes.com.au/act-news/fun-and-games-for-all-at-the-royal-canberra-show-20170225-gul8w5.html,2017-02-26 00:45:01,55,9,7,52,3,0,0,0,0
347700997164_10154927696522165,Got one of these at home?,The appliance bumping up your power bill by four figures,link,http://www.canberratimes.com.au/nsw/hidden-household-energy-costs-add-to-consumers-power-bills-20170223-guk7wm.html,2017-02-25 23:50:01,12,28,6,12,0,0,0,0,0
347700997164_10154927577677165,And some local pets are in need of care too.,Number of injured wildlife expected to rise after Carwoola bushfire,link,http://www.canberratimes.com.au/act-news/animal-rescuers-prepare-for-surge-of-injured-wildlife-after-carwoola-bushfire-20170224-gukgmp.html,2017-02-25 22:47:01,19,1,4,10,0,0,0,9,0
347700997164_10154927309737165,Feel like pitching in after the Carwoola fires?,Canberrans can now fund gear for firies that might save their home,link,http://www.canberratimes.com.au/act-news/nsw-rural-fire-service-volunteers-say-community-fundraising-support-is-vital-to-their-brigades-20170225-gulaup.html,2017-02-25 21:45:00,132,14,37,129,2,1,0,0,0
347700997164_10154927255862165,This might add a sour taste to your sauerkraut. Canberra just lost Oktoberfest to Queanbeyan.,Fees drive Oktoberfest from Canberra to Queanbeyan,link,http://www.canberratimes.com.au/act-news/queanbeyan-cashes-in-as-the-new-home-for-oktoberfest-20170225-gulade.html,2017-02-25 21:00:00,375,128,59,276,8,28,35,20,8
