status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
425536504297926_685773798274194,"سبحان اللہ. . . 
کون آن لائن ہے اسوقت جو ماشاء اللہ کہے. . .",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685773798274194/?type=3,2017-02-26 03:25:00,45,0,1,40,5,0,0,0,0
425536504297926_685773561607551,"اس بات میں کوئی شک کی گُنجائش ہی نہیں کہ آپ ﷺ بہت ہی زیادہ صادق اور آمین تھے۔۔
اس بات کی گہوائی آج بھی کفار دیتے ہیں۔",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685773561607551/?type=3,2017-02-26 03:05:01,277,3,15,264,13,0,0,0,0
425536504297926_685772878274286,مکہ مکرمہ امن اور سلامتی والا دنیا کا مقصدس ترین شہر ۔ ۔,Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685772878274286/?type=3,2017-02-26 02:55:00,585,3,16,562,24,0,0,0,0
425536504297926_685772698274304,یا اللہ تُو پابچ وقت کی نماز مسجد نبوی ﷺ میں پڑھنے کی توفیق عطاء فرماء,Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685772698274304/?type=3,2017-02-26 02:45:00,926,17,40,897,29,0,0,0,0
425536504297926_685772508274323,"مسجد نبوی ﷺ میں نماز جمعہ کے وقت کا منظر ۔ ۔
لاکھوں کی تعداد میں زائرین جمعہ مبارک کا خطبہ سن رھے ہیں۔",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685772508274323/?type=3,2017-02-26 02:35:00,921,4,19,885,36,0,0,1,0
425536504297926_685771294941111,"اللہ اکبر ۔ ۔ اللہ اکبر۔ ۔
ریاض شہر سعودی عرب میں پرچم نبوی کو دیکھ کر دل باغ باغ ہو جاتا ھے ۔ ۔
جس جس کو اس پرچم سے محبت ھے وہ ضرور لائک کرے۔",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685771294941111/?type=3,2017-02-26 02:25:00,1084,3,30,1048,34,1,0,0,1
425536504297926_685769274941313,"اللہ اکبر ۔ ۔ ھے کوئی آن لائن جو اللہ اکبر کہہ سکے ۔ ۔ 
بیت اللہ شریف کے غلاف سے بارش کا پانی بہہ رھا ھے ۔ ۔",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685769274941313/?type=3,2017-02-26 02:15:00,1324,7,22,1261,62,0,0,1,0
425536504297926_685765711608336,کس کس کی دلی حواہش ھے کہ وہ اپنی آخری زندگی جنت البقع میں صحابہ اکرام رضی اللہ تعالی عنہ کیساتھ گزارے ۔۔,Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685765711608336/?type=3,2017-02-26 02:05:01,2439,14,91,2333,97,2,1,7,0
425536504297926_685765198275054,"سبحان اللہ. . . 
کون آن لائن ہے اسوقت جو ماشاء اللہ کہے. . .",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685765198275054/?type=3,2017-02-26 01:55:00,1792,10,76,1706,85,0,1,0,0
425536504297926_685764954941745,مکہ کلاک ٹاور سے مسجد الحرام شریف کا خؤبصورت ترین منظر ۔ ۔,Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/685764954941745/?type=3,2017-02-26 01:38:18,1669,3,56,1603,63,1,1,1,0
425536504297926_684285651756342,"ما شاء الله تبارك الله 
مسجد الحرام شریف میں بارش کے دوران خانہ کعبہ سے پانی بہہ رھا ھے۔
اتنے حسین و جمیل منظر کیلئے لائک تو بنتا ھے۔",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/684285651756342/?type=3,2017-02-23 00:55:43,9340,56,614,9033,295,8,1,3,0
425536504297926_681993931985514,"الله اکبر
کون کون آن لائن ہے جو سبحان اللہ کہے",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681993931985514/?type=3,2017-02-19 01:45:00,7532,45,190,7243,276,5,1,5,2
425536504297926_681992928652281,مکمل ٹوٹ جانے کے بعد میں لوٹ آتا ہوں اپنے اللہ کی جانب۔,Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681992928652281/?type=3,2017-02-19 01:25:00,7890,15,574,7581,279,1,1,28,0
425536504297926_681992181985689,ماشاء اللہ مسجد الحرام شریف مین داخلی راستہ ۔۔,Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681992181985689/?type=3,2017-02-19 01:05:01,6373,19,182,6158,209,3,0,2,1
425536504297926_681991471985760,"مسجد حرم کے ٹاپ فلور کے تین گنبد. .
کون کون آن لائن ہے اسوقت جو ماشاء اللہ کہے.",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681991471985760/?type=3,2017-02-19 00:45:00,4496,46,193,4352,142,0,1,1,0
425536504297926_681991131985794,"ماشاءاللہ. 
کون کون آن لائن ہے اسوقت جو ماشاء اللہ کہے. .",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681991131985794/?type=3,2017-02-19 00:25:00,7845,83,703,7562,270,2,0,11,0
425536504297926_681990805319160,"اللہ اکبر ۔۔ ۔ 
یا اللہ ہم تیرے گھر پر حاضر ہیں تُو ہمارے گناہوں کو معاف فرماء۔",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681990805319160/?type=3,2017-02-19 00:05:00,7121,30,203,6853,261,2,2,3,0
425536504297926_681990468652527,مقام اسمعیل ؑ جو کہ مسجد الحرم شریف میں بیت اللہ کا حصہ ھے اس کے سامنے لگئی ہوئی خوبصور ترین سونے کی لائٹ۔۔,Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681990468652527/?type=3,2017-02-18 23:45:00,8185,15,141,7849,323,6,3,4,0
425536504297926_681990238652550,"سبحان اللہ
کون کون آن لائن ہے جو سبحان اللہ کہے",Timeline Photos,photo,https://www.facebook.com/NewsPakistanPage/photos/a.425927244258852.1073741828.425536504297926/681990238652550/?type=3,2017-02-18 23:25:00,9049,65,251,8753,277,11,2,6,0
