status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
193342920825918_747780302048841,"Man collects 3,000 mobile phones of different models in 18 years http://www.ecns.cn/visual/hd/2017/02-26/122092.shtml",Timeline Photos,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/747780302048841/?type=3,2017-02-26 00:28:52,8,0,1,6,0,2,0,0,0
193342920825918_747779308715607,Three famous Chinese tourist spots were warned by the industry regulator Saturday for deteriorating quality. http://www.ecns.cn/travel/2017/02-26/246902.shtml,Timeline Photos,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/747779308715607/?type=3,2017-02-26 00:25:13,32,1,6,31,1,0,0,0,0
193342920825918_747778525382352,"Guan Jingxue, a textile worker all his life, is counting down the days to competing with world's most seasoned marathon runners in Boston, and probably sneaking into the top five in his age group.  http://www.ecns.cn/2017/02-26/246893.shtml",Timeline Photos,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/747778525382352/?type=3,2017-02-26 00:24:31,4,0,0,4,0,0,0,0,0
193342920825918_747295175430687,Two Beijing nurses have been detained for locking up sharable bikes http://bit.ly/2lFEsJH,Nurses detained for locking up public-use bikes,link,http://bit.ly/2lFEsJH,2017-02-25 02:28:00,39,0,2,38,1,0,0,0,0
193342920825918_747290815431123,"Kweichow Moutai Group, the producer of China's best known baijiu liquor, Moutai, has led an investment of 1 billion yuan ($147 million) to form a life insurance company. http://bit.ly/2lTQSA1",China's national liquor splashes into insurance business,link,http://bit.ly/2lTQSA1,2017-02-25 02:15:00,15,0,1,15,0,0,0,0,0
193342920825918_747289545431250,"People reportedly trapped in hotel fire in Nanchang, capital of E China's Jiangxi Province.  http://bit.ly/2labcsl",East China hotel fire traps people,link,http://bit.ly/2labcsl,2017-02-25 01:58:46,22,0,1,21,1,0,0,0,0
193342920825918_747288122098059,"People make ""Kasai"", a traditional Tibetan food, to greet the upcoming Tibetan New Year.",Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/747287865431418/?type=3,2017-02-25 01:51:29,123,0,18,119,1,3,0,0,0
193342920825918_746867225473482,NASA's Juno to remain in current orbit at Jupiter http://bit.ly/2l6VTRn,Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746867112140160/?type=3,2017-02-24 07:58:20,63,1,5,63,0,0,0,0,0
193342920825918_746833678810170,Hainan launch site to become international aerospace city http://bit.ly/2lgI2ZH,Hainan launch site to become international aerospace city,link,http://bit.ly/2lgI2ZH,2017-02-24 07:29:32,25,1,6,25,0,0,0,0,0
193342920825918_746812575478947,Animation on Chinese boy's adventures in Saudi Arabia premieres http://bit.ly/2ms6RlF,Animation on Chinese boy's adventures in Saudi Arabia premieres,link,http://bit.ly/2ms6RlF,2017-02-24 07:00:47,23,1,2,21,2,0,0,0,0
193342920825918_746803735479831,Teacher makes riddle-like mechanical book http://bit.ly/2meStRz,Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746803652146506/?type=3,2017-02-24 06:32:06,32,0,7,30,1,1,0,0,0
193342920825918_746793582147513,Media calls for more supervision on international schools http://bit.ly/2l6QtWi,Media calls for more supervision on international schools,link,http://bit.ly/2l6QtWi,2017-02-24 05:59:47,10,0,1,9,1,0,0,0,0
193342920825918_746782865481918,"Visitors stroll in the sea of umbrellas in Luoyang, Henan Province.",,video,https://www.facebook.com/echinanews/videos/746782865481918/,2017-02-24 05:27:14,74,1,33,72,2,0,0,0,0
193342920825918_746755495484655,Amazing stair-helper makes it easier for elderly people to climb stairs.,,video,https://www.facebook.com/echinanews/videos/746755495484655/,2017-02-24 04:03:29,57,1,23,54,3,0,0,0,0
193342920825918_746751915485013,"Chinese director Ying Da charged with currency violations in U.S.

Scheduled to be sentenced in May, he faces a maximum 10-year imprisonment.",Timeline Photos,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746751915485013/?type=3,2017-02-24 03:50:39,10,0,2,10,0,0,0,0,0
193342920825918_746747245485480,China has urged Myanmar to take effective measures immediately to protect the safety of Chinese citizens and the property of Chinese companies following an attack against a garment factory. http://bit.ly/2lC4vkD,Myanmar urged to protect Chinese citizens after factory attack,link,http://bit.ly/2lC4vkD,2017-02-24 03:28:08,7,0,1,7,0,0,0,0,0
193342920825918_746730755487129,"Miao silversmith puts shine back in silver 

It's been an important custom for people of the Miao ethnic minority in Xiangxi Tujia and Miao autonomous prefecture to decorate themselves head to toe with silver on special occasions such as weddings. 

While being a silversmith was once a respected job, in recent years, the tradition is slowly dying as some of the younger generations believe cash is a better choice as betrothal gift. http://bit.ly/2mjtadZ",Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746730515487153/?type=3,2017-02-24 02:52:00,35,0,3,33,1,1,0,0,0
193342920825918_746726112154260,The number of Chinese cities with GDPs exceeding the 1-trillion-yuan ($146 billion) mark has increased to 12 since Nanjing and Qingdao released their economic data for 2016. http://bit.ly/2lBXrVa,"Two more cities break 1 trln yuan GDP, bringing total to 12",link,http://bit.ly/2lBXrVa,2017-02-24 02:20:39,0,0,1,0,0,0,0,0,0
193342920825918_746710742155797,Vienna State Opera holds annual ball http://bit.ly/2lLTS0V,Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746682192158652/?type=3,2017-02-24 01:55:48,27,0,1,25,1,1,0,0,0
193342920825918_746666655493539,"What would you do if a taxi driver asked to take a picture with you? Well, if you visit Chongqing in Southwest China you might just find out. http://bit.ly/2lQGXek",Raising a smile with nothing but a selfie,link,http://bit.ly/2lQGXek,2017-02-24 01:00:01,10,0,0,10,0,0,0,0,0
193342920825918_746666355493569,Let's count down to Tibetan New Year.,,video,https://www.facebook.com/echinanews/videos/746666355493569/,2017-02-24 00:39:28,33,0,16,31,2,0,0,0,0
193342920825918_746601142166757,"Thirteen wild Asian elephants have repeatedly intruded into farmers' houses at night to eat grain, leaving nobody injured.",Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746600998833438/?type=3,2017-02-23 23:50:00,57,0,8,57,0,0,0,0,0
193342920825918_746598612167010,Dolphinfishes photographed aboard U.S. drilling ship in expedition to South China Sea http://bit.ly/2mqMi98,Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746598288833709/?type=3,2017-02-23 23:10:46,48,0,6,47,1,0,0,0,0
193342920825918_746597012167170,South China's Guangdong Province continued to lead the country in provincial GDP volume in 2016 as Northeast China suffered from sluggish or even negative growth. http://bit.ly/2kSGJ71,Guangdong tops GDP list,link,http://bit.ly/2kSGJ71,2017-02-23 22:28:00,34,1,4,33,1,0,0,0,0
193342920825918_746581962168675,In pics: Snow-covered tea garden in C China's Hubei http://bit.ly/2lLwu3F,Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746581542168717/?type=3,2017-02-23 22:05:09,42,0,6,41,0,1,0,0,0
193342920825918_746573872169484,Patterns and characters formed with one million pinwheels are seen on field during a tourism festival in Miyun district in Beijing.,Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746573175502887/?type=3,2017-02-23 21:40:00,118,2,35,109,6,3,0,0,0
193342920825918_746571295503075,"According to preliminary analysis, the chemical substance found on the samples of eye mucosa and face had been identified as ""VX Nerve Agent,"" national police chief Khalid Abu Bakar said in a statement. http://bit.ly/2lfb23S",Chemical weapon substance identified on dead DPRK man: Malaysian police,link,http://bit.ly/2lfb23S,2017-02-23 21:16:04,22,1,3,21,0,0,0,1,0
193342920825918_746564542170417,"""China has a larger stage which provides more chances and room for growth. We can expand our ability and achieve greater value of life."" http://bit.ly/2lQc2iC",China sees biggest overseas returning wave in recent years,link,http://bit.ly/2lQc2iC,2017-02-23 21:00:59,67,0,7,67,0,0,0,0,0
193342920825918_746539752172896,"Villagers busy harvesting in 11,000 hectares of tea plantation as winter turns to spring in Guangxi http://bit.ly/2lf7rTi",Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746539505506254/?type=3,2017-02-23 20:28:10,167,0,23,164,3,0,0,0,0
193342920825918_746534582173413,"China has seen a 49 percent increase in private equity (PE) and venture capitalist (VC) investment last year, though the scale of global fund raising and investment showed a reduction, according to a report. http://bit.ly/2lQ034A",China hits new record in world's PE/VC investment in 2016: PwC,link,http://bit.ly/2lQ034A,2017-02-23 19:58:07,14,0,1,14,0,0,0,0,0
193342920825918_746265252200346,Bike-sharing firms promise deposit refunds 'in seconds' http://bit.ly/2lJa1nU,Bike-sharing firms promise deposit refunds 'in seconds',link,http://bit.ly/2lJa1nU,2017-02-23 07:59:16,11,1,0,10,1,0,0,0,0
193342920825918_746255468867991,Exhibition 'Diana: Her Fashion Story' to open to public in London http://bit.ly/2mot8AL,Photos from China News 中国新闻网's post,photo,https://www.facebook.com/echinanews/photos/a.193391177487759.1073741826.193342920825918/746255312201340/?type=3,2017-02-23 07:30:55,18,0,1,15,3,0,0,0,0
193342920825918_746246198868918,Suzuki to recall vehicles in China over defective shift bars http://bit.ly/2mooEtV,Suzuki to recall vehicles in China over defective shift bars,link,http://bit.ly/2mooEtV,2017-02-23 07:04:30,10,0,0,10,0,0,0,0,0
193342920825918_746234875536717,Scattering Book campaign catches cold http://bit.ly/2lbZMoX,Scattering Book campaign catches cold,link,http://bit.ly/2lbZMoX,2017-02-23 06:32:31,6,0,0,5,1,0,0,0,0
193342920825918_746223392204532,Couple live in large sinkhole for 20 years,,video,https://www.facebook.com/echinanews/videos/746223392204532/,2017-02-23 05:58:46,147,1,55,138,4,4,1,0,0
193342920825918_746216105538594,Plane turns back after 1.5 hours due to half open door http://bit.ly/2lys2Ty,Plane turns back after 1.5 hours due to half open door,link,http://bit.ly/2lys2Ty,2017-02-23 05:31:10,26,0,4,26,0,0,0,0,0
