status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1672814509645693_1812592085667934,"Trump's ""well oiled machine"" is crumbling.",Sean Spicer Just Attacked His Own Staff; Trump Ship SINKING,link,http://newcenturytimes.com/2017/02/26/sean-spicer-just-attacked-his-own-staff-trump-ship-sinking/,2017-02-26 14:15:00,356,43,66,214,6,14,112,2,8
1672814509645693_1812586525668490,This. Was. Perfect.,Bernie Sanders Just Responded To Trump's Latest Lie With An EPIC Smackdown,link,http://winningdemocrats.com/bernie-sanders-just-responded-to-trumps-latest-lie-with-an-epic-smackdown/,2017-02-26 13:34:00,137,6,12,115,12,2,8,0,0
1672814509645693_1812573732336436,From one dictator to another..,Iran's Former President Just Sent A SHOCKING Letter To Trump; This Is TROUBLING (DETAILS),link,http://newcenturytimes.com/2017/02/26/irans-former-president-just-sent-a-shocking-letter-to-trump-this-is-troubling-details/,2017-02-26 12:45:00,112,7,17,62,1,16,11,0,22
1672814509645693_1812397639020712,I never want to hear Trump call CNN 'fake news' again!,Fox News Used A FAKE 'Swedish Defense And National Security Advisor' To Defend Trump (VIDEO),link,http://winningdemocrats.com/fox-news-used-a-fake-swedish-defense-and-national-security-advisor-to-defend-trump-video/,2017-02-26 12:04:00,294,46,112,165,4,14,61,6,44
1672814509645693_1812536389006837,This should outrage you.,Ann Coulter Gives The Most Batsh*t CRAZY Reason Trump Is Skipping WH Correspondents' Dinner (VIDEO),link,http://newcenturytimes.com/2017/02/26/ann-coulter-gives-the-most-batsht-crazy-reason-trump-is-skipping-wh-correspondents-dinner-video/,2017-02-26 11:15:07,212,101,40,75,1,6,60,0,70
1672814509645693_1812391312354678,It will only be a matter of time before more follow suit.,"Republicans Are Trying To Block Protesters In At Least 18 States, Is Yours One Of Them?",link,http://winningdemocrats.com/republicans-are-trying-to-block-protesters-in-at-least-18-states-is-yours-one-of-them/,2017-02-26 10:33:01,307,116,159,93,5,21,3,8,177
1672814509645693_1812345759025900,No one saw this coming!,George Clooney SHOCKS Everyone With This MAJOR Trump Diss During His Acceptance Speech (VIDEO),link,http://newcenturytimes.com/2017/02/25/george-clooney-shocks-everyone-with-this-major-trump-diss-during-his-acceptance-speech-video/,2017-02-26 09:45:01,584,30,64,482,67,8,27,0,0
1672814509645693_1812382069022269,,Americans Against Trump,photo,https://www.facebook.com/AmericansVsTrump/photos/a.1069512829754115.1073741828.1065874873451244/1346573525381376/?type=3,2017-02-26 01:06:10,434,51,0,388,17,2,5,1,21
1672814509645693_1812320529028423,Good for America!,Trump Just Dropped BOMBSHELL News About W.H. Correspondents' Dinner; America Gives Him Hell For It,link,http://newcenturytimes.com/2017/02/25/trump-just-dropped-bombshell-news-about-w-h-correspondents-dinner-america-gives-him-hell-for-it/,2017-02-25 21:45:00,121,47,12,59,7,1,47,0,7
1672814509645693_1812313929029083,YES!!,Trump Isn't Attending White House Correspondents' Dinner And Zach Braff Has The PERFECT Alternative,link,http://winningdemocrats.com/trump-isnt-attending-white-house-correspondents-dinner-and-zach-braff-has-the-perfect-alternative/,2017-02-25 21:04:00,720,43,65,531,54,6,129,0,0
1672814509645693_1812291625697980,Things have gotten completely out of control.,Immigration Detains Muhammad Ali's Son For Having Muslim Sounding Name,link,http://winningdemocrats.com/immigration-detains-muhammad-alis-son-for-having-muslim-sounding-name/,2017-02-25 19:32:21,403,73,119,149,2,46,6,27,173
1672814509645693_1812260702367739,WOW. Trump just hit a new low in classless behavior.,"Trump Just Told The White House Press Corps What He REALLY Thinks, And It's BAD",link,http://winningdemocrats.com/trump-just-told-the-white-house-press-corps-what-he-really-thinks-and-its-bad/,2017-02-25 18:05:00,320,81,53,165,4,10,31,8,102
1672814509645693_1812212792372530,Trump must feel like an idiot.,Paris Mayor Just Sent A HUGE Message To Trump After His Attack On Paris; It Is PERFECT,link,http://newcenturytimes.com/2017/02/25/paris-mayor-just-sent-a-huge-message-to-trump-after-his-attack-on-paris-it-is-perfect/,2017-02-25 15:46:06,636,81,255,474,35,6,110,0,11
1672814509645693_1812136895713453,Trump is not gonna like this!,The NYPD Just Gave A HUGE Middle Finger To Trump's Bigoted Agenda,link,http://winningdemocrats.com/the-nypd-just-gave-a-huge-middle-finger-to-trumps-bigoted-agenda/,2017-02-25 13:33:00,1148,33,187,986,78,8,72,0,4
1672814509645693_1812109175716225,,Winning Democrats,photo,https://www.facebook.com/WinningDemocrats/photos/a.1643372019236950.1073741828.1640832309490921/1872891969618286/?type=3,2017-02-25 12:04:00,13499,2409,0,11107,1474,10,140,728,40
1672814509645693_1811911612402648,Unbelievable.,Son Of MAJOR Muslim Celebrity Detained At Airport All Thanks To Trump,link,http://newcenturytimes.com/2017/02/25/son-of-major-muslim-celebrity-detained-at-airport-all-thanks-to-trump/,2017-02-25 11:15:00,320,52,48,107,1,29,5,22,156
1672814509645693_1812090209051455,SAD!,Trump Told Another MAJOR Lie That Was Easily Disproven With Pictures,link,http://winningdemocrats.com/trump-told-another-major-lie-that-was-easily-disproven-with-pictures/,2017-02-25 10:34:03,852,126,253,447,4,22,242,42,95
1672814509645693_1811874149073061,Sh*t is going to hit the fan!,Bloomberg Just DEVASTATED Trump With Decision That Will RUIN His White House Correspondents' Dinner (DETAILS),link,http://newcenturytimes.com/2017/02/24/bloomberg-just-devastated-trump-with-decision-that-will-ruin-his-white-house-correspondents-dinner-details/,2017-02-25 09:45:01,798,74,146,589,52,18,129,3,7
1672814509645693_1811994335727709,Thoughts?,Timeline Photos,photo,https://www.facebook.com/newcenturytimes/photos/a.1673414152919062.1073741828.1672814509645693/1811994335727709/?type=3,2017-02-25 05:10:49,5163,255,1286,4375,272,20,19,417,60
1672814509645693_1811901149070361,This is the best!,"Obama's White House Photographer Trolls Latest Press Conference BS, And It's PERFECT (IMAGE)",link,http://bluetribune.com/2017/02/24/obamas-white-house-photographer-trolls-latest-press-conference-bs-and-its-perfect-image/,2017-02-25 00:21:55,201,8,24,173,14,0,12,1,1
