status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
119817336421_10154883596456422,"The 11-time world champion said there was a ""clear imbalance happening in the ocean there"".",Kelly Slater calls for 'serious' shark cull on island,link,http://www.theage.com.au/sport/kelly-slater-calls-for-serious-shark-cull-on-reunion-island-20170227-gulzcr.html,2017-02-27 00:00:00,0,0,0,0,0,0,0,0,0
119817336421_10154883543316422,Asghar Farhadi chose not to attend the awards night out of respect for the countries affected by Mr Trump's executive order.  #Oscars,Iranian Oscar winner slams Trump's travel ban,link,http://www.theage.com.au/entertainment/oscars/oscars-2017-iranian-winner-asghar-farhadi-slams-donald-trumps-travel-ban-via-spokesperson-20170227-gum6lf.html,2017-02-26 23:30:00,7,4,0,7,0,0,0,0,0
119817336421_10154883250931422,"ANALYSIS Donald J. Trump keeps blaming Democrats for breathing life into the Russia affair, but it was a procession of his allies and others in the Republican Party who added to an air of foreboding at the weekend.",Sean Spicer orders leak crackdown in search of Donald Trump's 'fake news',link,http://www.theage.com.au/world/sean-spicer-orders-leak-crackdown-in-search-of-trumps-fake-news-20170227-gulyf1.html,2017-02-26 23:00:00,8,0,1,2,0,0,6,0,0
119817336421_10154883240536422,"'Making music gives these children the chance to devote their time to something pleasant, forget their problems and meet their peers in a safe place.'",Kenya's Ghetto Classics Orchestra a cradle of confidence in a crowded slum,link,http://www.theage.com.au/world/kenyas-ghetto-classics-orchestra-a-cradle-of-confidence-in-a-crowded-slum-20170223-gujfh1.html,2017-02-26 22:30:01,6,0,1,4,1,1,0,0,0
119817336421_10154883321561422,The latest disclosure about QBE Insurance Australia follows the controversy surrounding Seven Network boss Tim Worner and his relationship with an executive assistant.,"QBE boss's bonus cut by $550,000 after relationship with secretary",link,http://www.theage.com.au/business/qbe-chief-john-neals-bonus-cut-by-550000-after-relationship-with-secretary-20170226-gulxq8.html,2017-02-26 22:00:01,9,6,1,5,1,0,3,0,0
119817336421_10154883202646422,"COMMENT You were hoping you'd elected a saviour, and instead  Donald J. Trump is doing to you what he did to just about everyone who ever trusted him: He's betraying you.",Dear Donald Trump voters - you've been conned,link,http://www.theage.com.au/comment/donald-trump-voters-have-been-sold-a-dud--they-need-to-fight-back-20170226-gulvjo.html,2017-02-26 21:30:00,168,49,24,115,0,2,36,11,4
119817336421_10154883352761422,"La La Land has 14 nominations, but will it fulfil expectations? Follow updates here.",Oscars 2017 live: Who will walk out a winner?,link,http://www.theage.com.au/entertainment/oscars/oscars-2017-live-winners-and-highlights-of-the-89th-academy-awards-20170227-gum0lu.html,2017-02-26 21:01:10,6,4,0,6,0,0,0,0,0
119817336421_10154883299491422,BREAKING Heavily-armed Victoria Police exchanged fire with a gunman as they attempted to raid a Levenia Street house. They found the home empty after smashing their way in four hours later.,'Gunman on the run' after police end St Albans siege,link,http://www.theage.com.au/victoria/gunman-on-the-run-after-police-smash-into-empty-home-to-end-st-albans-siege-20170227-gum17e.html,2017-02-26 20:34:13,60,35,20,41,0,10,9,0,0
119817336421_10154883223716422,BREAKING Special operations police smashed the Levenia Street property's windows and stormed the house through a rear door.  Nobody appears to have been taken from the house.,Armed police smash into St Albans home to end four-hour siege,link,http://www.theage.com.au/victoria/armed-police-smash-into-st-albans-home-to-end-fourhour-siege-20170227-gulyq8.html,2017-02-26 19:50:14,9,9,0,5,0,3,1,0,0
119817336421_10154883159006422,COMMENT The scandal is – sorry – one of the scandals of life insurance is that many Aussies don't even know they're doing it.,"The $1.96b wasted on worthless, junk insurance",link,http://www.theage.com.au/comment/many-of-us-dont-even-know-we-have-life-insurance-often-its-worthless-20170224-gul0ow.html,2017-02-26 19:30:00,43,21,17,25,1,1,1,0,15
119817336421_10154883081046422,"The plan from the Australian Council of Social Service would raise $4 billion a year, more than six times the net amount saved in the first Turnbull budget.",All high earners to pay Medicare levy surcharge under budget proposal,link,http://www.theage.com.au/federal-politics/political-news/all-high-earners-to-pay-medicare-levy-surcharge-under-budget-proposal-20170226-gull01.html,2017-02-26 19:10:00,103,26,19,86,7,1,0,0,9
119817336421_10154882975486422,"COMMENT When we look at all the crazy behaviour in the US, we comfort ourselves that it couldn't happen here. Well, last week we took another step in that direction, writes Ross Gittins. BusinessDay",This is who (or what) wins from a penalty rate cut,link,http://www.theage.com.au/business/the-economy/cut-in-penalty-rates-another-win-for-bizonomics-20170226-gulhuo.html,2017-02-26 18:50:00,62,9,15,39,0,0,0,5,18
119817336421_10154883038836422,The gloves are off as Malcolm Turnbull lays the blame for the Coalition's dramatic poll slump at the feet of the man he replaced.,Malcolm Turnbull accuses Tony Abbott of sabotage,link,http://www.theage.com.au/federal-politics/political-news/malcolm-turnbull-accuses-tony-abbott-of-sabotaging-government-amid-poll-slump-20170226-gulweb.html,2017-02-26 18:28:14,111,96,8,36,0,1,65,0,9
119817336421_10154882942546422,A teacher who wishes to remain anonymous says children's futures are being sacrificed for positive school public relations.,How students are really talked about in the staff room,link,http://www.theage.com.au/victoria/childrens-futures-sacrificed-for-positive-school-pr-secret-teacher-speaks-out-20170220-gugs56.html,2017-02-26 18:01:43,59,15,16,33,0,5,1,3,17
