status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
115591005188475_1338600139554216,"""I want to say thank you to President Trump. Remember last year when people thought the #Oscars  were racist?"" #jimmykimmel Photo: CFP",Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338600139554216/?type=3,2017-02-26 23:00:01,51,3,0,50,0,0,1,0,0
115591005188475_1338632076217689,"【InPics】#Hollywood stars shine on the #Oscars red carpet 
The #Oscars2017 are the biggest show in town, as stars hit the Hollywood red carpet at the Dolby Theatre on February 26. #TheAcademy 
Photos: CFP/Getty Image",Photos from Global Times's post,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338630532884510/?type=3,2017-02-26 22:51:59,223,0,2,220,1,1,0,0,1
115591005188475_1338599456220951,Chinese actor Jackie Chan attends 89th @TheAcademy Awards with a cute stuffed #panda on either arm #Oscars 2017: Photo: CFP,Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338599456220951/?type=3,2017-02-26 22:33:00,212,1,0,209,2,0,0,0,1
115591005188475_1338566039557626,"【InPics】Birds play with flowers in Fuzhou, southeast China
Photos: Xinhua
http://www.globaltimes.cn/content/1035015.shtml",Photos from Global Times's post,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338565936224303/?type=3,2017-02-26 22:00:01,509,2,12,508,1,1,0,0,0
115591005188475_1338533276227569,"Yanghe aims to sell more baijiu to customers along Belt and Road
Photo: Tu Lei/GT
http://www.globaltimes.cn/content/1034945.shtml",Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338533276227569/?type=3,2017-02-26 21:30:01,161,3,1,159,1,0,0,0,1
115591005188475_1338530052894558,"【InPic】Baked at the beach
German actress Maria Hering carries a pretzel-shaped swimming ring at a beach in Miami, Florida, the US on Friday. Photo: CFP
http://www.globaltimes.cn/content/1034926.shtml",Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338530052894558/?type=3,2017-02-26 21:00:00,256,3,1,253,1,0,2,0,0
115591005188475_1338335496247347,Participants during the Manly Inflatable Boat Race in Australia to raise money for cancer charity. (CFP/ Hugh Peterswald/Pacific Press/LightRocket via Getty Images),Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338335496247347/?type=3,2017-02-26 19:10:00,321,2,3,316,2,2,0,0,1
115591005188475_1338107809603449,"Three sword swallowers perform to mark Sword-Swallowing Day on Saturday in New York City, the US. Photo: CFP http://www.globaltimes.cn/content/1034925.shtml",Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338107809603449/?type=3,2017-02-26 18:30:00,97,1,1,97,0,0,0,0,0
115591005188475_1338081959606034,High-technology finds home at the Palace Museum's 'Relic Hospital' in Beijing   http://www.globaltimes.cn/content/1034907.shtml  Photo: CFP,Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338081959606034/?type=3,2017-02-26 17:30:00,105,4,1,104,1,0,0,0,0
115591005188475_1338334212914142,A US F18 Hornet aircraft lands on the aircraft carrier USS George Washington during its mission in Mediterranean Sea. (CFP / Murat Kaynak/Anadolu Agency/Getty Images),Timeline Photos,photo,https://www.facebook.com/globaltimesnews/photos/a.123349831079259.30174.115591005188475/1338334212914142/?type=3,2017-02-26 17:10:00,316,3,7,312,1,2,0,0,1
