status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
91269123170_10154659534783171,Summer is not over yet.,Melbourne can expect warmer days as late summer finally arrives,link,http://trib.al/w47p1NF,2017-02-27 02:42:08,35,4,4,30,1,3,0,0,1
91269123170_10154659509153171,Our photographer Jake Nowakowski came across this burst fire hydrant as it inundated an Eltham street with water today.,Timeline Photos,photo,https://www.facebook.com/heraldsun/photos/a.417370303170.194381.91269123170/10154659509153171/?type=3,2017-02-27 02:24:57,33,2,3,32,0,1,0,0,0
91269123170_10154659496808171,The internet has gone into a spin over tourist Vicky's meeting with Ryan Gosling,What did Ryan whisper in her ear?,link,http://trib.al/zfT1TSE,2017-02-27 02:13:17,8,2,1,7,1,0,0,0,0
91269123170_10154659458633171,"OPINION: THE AFLW has been a huge success but the AFL must now dig deep to help the clubs improve and develop greater depth, writes News with Suse.",Susie O'Brien: AFL must lead women to next level,link,http://trib.al/3qZG8Ps,2017-02-27 01:42:04,5,12,2,4,0,0,1,0,0
91269123170_10154659424918171,OSCARS GAFFE: Hopefully you had a better day at work than Warren Beatty and Faye Dunaway.,Oscars shocker stuns Hollywood,link,http://trib.al/yexAqc1,2017-02-27 01:09:08,57,8,6,38,0,5,14,0,0
91269123170_10154659397283171,"State Cabinet has approved the first steps towards tightening entitlements after what Premier Daniel Andrews called ""appalling behaviour"" by two of his own MPs.",'Honesty system' for MP entitlements to end,link,http://trib.al/SEZFbii,2017-02-27 00:43:09,4,3,0,4,0,0,0,0,0
91269123170_10154659393243171,FULL LIST: See who took home the trophies at the Academy Awards,Full list of Academy Award winners,link,http://trib.al/DcRvWQk,2017-02-27 00:40:10,6,2,2,5,0,0,1,0,0
91269123170_10154659362733171,Envelope mix-up blamed for biggest Oscars stuff-up in history as La La Land mistakenly named Best Picture winner. It was Moonlight http://trib.al/3BVqgpx,Casey and Emma take out top Oscars,link,http://trib.al/3BVqgpx,2017-02-27 00:17:55,95,22,16,73,1,7,14,0,0
91269123170_10154659349398171,Latest from the Spring St Circus.,Telmo Languiller supporters say Premier threw Speaker under the bus,link,http://trib.al/6KZG0W4,2017-02-27 00:10:10,2,6,0,2,0,0,0,0,0
91269123170_10154659284128171,"UPDATE: A man was arrested without incident after handing himself into police.

EARLIER: Police are hunting an armed man who was the target of an international drug trafficking raid on a St Albans home this morning. They call on Nghi Le to hand himself in.",Armed man on run after drug raid,link,http://trib.al/DqW9G4F,2017-02-26 23:40:10,15,6,12,10,0,1,0,1,3
91269123170_10154659219253171,QBE boss docked half a million for not declaring a relationship with his personal assistant.,"CEO's $550,000 relationship",link,http://trib.al/2S7qzTd,2017-02-26 23:12:20,29,5,3,17,0,5,7,0,0
91269123170_10154659160413171,FIJI FLOP: Two days into their romantic holiday the steak sanger plunged them to the depths of pain.,We saw what lovers shouldn't see,link,http://trib.al/zIdcSfk,2017-02-26 22:52:09,96,75,7,64,0,18,10,4,0
91269123170_10154658939868171,"Lyndhurst Football and Netball Club's open door for female footy players — long before the advent of the AFL Women's — has reinforced the fabric of the community club.
#FullOnFooty",Fields of fortune at Lyndhurst,link,http://www.heraldsun.com.au/news/victoria/local-legend-helps-lyndhurst-football-club-put-its-best-footforward/news-story/67a965577a67e4f072160191805f76b0,2017-02-26 22:50:00,8,2,4,7,1,0,0,0,0
91269123170_10154659123378171,"If you have any info on this moron, call Crime Stoppers on 1800 333 000.",Cops hunt angle grinder raider,link,http://trib.al/PMucsjH,2017-02-26 22:33:28,4,2,4,2,0,1,0,0,1
