status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
104598631263_10155241140741264,"The cost of a controversial security fence has to be kept secret because the price tag could aide a terrorist attack, according to the federal government.",$60m upgrade: Cost of Parliament House fence kept secret to 'deter terrorists',link,http://www.smh.com.au/federal-politics/political-news/60m-upgrade-cost-of-parliament-house-fence-kept-secret-to-deter-terrorists-20170227-gum2aq.html,2017-02-26 23:00:01,2,4,0,2,0,0,0,0,0
104598631263_10155241144556264,"The ribbon is reportedly part of the American Civic Liberties Union' ""Stand with ACLU"" initiative.",Why stars are wearing a blue ribbon on the Oscars red carpet,link,http://www.smh.com.au/lifestyle/fashion/ruth-negga-wears-aclu-blue-ribbon-on-oscars-2017-red-carpet-20170226-gulwh6.html,2017-02-26 22:40:01,18,4,2,17,0,1,0,0,0
104598631263_10155241154286264,Eman Sharobeem has exited a range of high-profile advisory positions and her job at SBS as a scandal engulfs the former Australian of the Year finalist.,"Eman Sharobeem exits boards, SBS amid fraud investigation",link,http://www.smh.com.au/nsw/former-australian-of-the-year-finalist-eman-sharobeem-exits-boards-sbs-amid-fraud-investigation-20170227-gulz5c.html,2017-02-26 22:21:37,21,11,1,13,0,6,2,0,0
104598631263_10155240789376264,"Comment: Instead of draining the swamp, he's wallowing in it and monetising the presidency.",Donald Trump voters have been sold a dud - they need to fight back,link,http://www.smh.com.au/comment/donald-trump-voters-have-been-sold-a-dud--they-need-to-fight-back-20170226-gulvjo.html,2017-02-26 22:00:00,194,57,16,145,1,5,29,3,11
104598631263_10155241046186264,"""The highly overrated Meryl Streep"" also received a standing ovation.",SMH Entertainment,link,http://www.smh.com.au/entertainment/oscars/elephant-in-the-room-trump-barbs-debut-barely-a-minute-into-the-oscars-20170227-gum2lg.html,2017-02-26 21:35:20,57,19,0,41,9,0,7,0,0
104598631263_10155240825551264,"A Sydney storm chaser has coordinated a worldwide tribute to Twister star Bill Paxton, using GPS coordinates to spell out the late actor's initials over Tornado Alley in the US.",Storm chasers honour Bill Paxton with GPS tribute over Tornado Alley,link,http://www.smh.com.au/entertainment/movies/storm-chasers-honour-twister-star-bill-paxton-with-gps-tribute-over-tornado-alley-20170227-gulz98.html,2017-02-26 21:11:13,217,7,15,175,27,3,0,12,0
104598631263_10155240946361264,Mahershala Ali has just won the Oscar for Best Supporting Actor for his role in Moonlight. Our reviewer gave the film five stars.,Moonlight: a stunning coming-of-age story and the first must-see film of 2017,link,http://www.smh.com.au/entertainment/moonlight-review-a-stunning-comingofage-story-and-the-first-mustsee-film-of-2017-20170113-gtr2v0.html,2017-02-26 20:57:54,39,8,3,37,2,0,0,0,0
104598631263_10155240876211264,Follow our live blog for all the action from the 89th Academy Awards.,Oscars 2017: Winners and highlights,link,http://www.smh.com.au/entertainment/oscars/oscars-2017-live-winners-and-highlights-of-the-89th-academy-awards-20170227-gum0lu.html,2017-02-26 20:38:12,7,3,1,7,0,0,0,0,0
104598631263_10155240820271264,"Sean Spicer reportedly summoned a dozen of his communications staff to an ""emergency"" meeting late last week, at which they were ordered to surrender mobile phones for a ""phone check"".",Details of meeting over leaks to media is leaked to media,link,http://www.smh.com.au/world/sean-spicer-orders-leak-crackdown-in-search-of-trumps-fake-news-20170227-gulyf1.html,2017-02-26 20:19:16,523,53,36,242,8,32,232,1,8
104598631263_10155240771511264,"See how the stars prepared for, and then stormed, the biggest red carpet of the year.",Oscars 2017: What the stars are wearing,link,http://www.smh.com.au/lifestyle/fashion/oscars-2017-red-carpet-live-how-the-stars-are-getting-ready-for-hollywoods-big-night-20170226-gulill.html,2017-02-26 20:00:52,15,8,2,15,0,0,0,0,0
104598631263_10155240729911264,Who do you think will win Best Picture at the Oscars? SMH Entertainment's Garry Maddox is calling it for La La Land.,Who will win at the 2017 Oscars?,link,http://www.smh.com.au/entertainment/oscars/oscars-2016-how-australias-record-number-of-nominees-will-fare-20170213-guc9hb.html,2017-02-26 19:39:41,5,13,1,4,0,0,1,0,0
104598631263_10155240643346264,"Ross Gittins: When we look at all the crazy behaviour in the United States, we comfort ourselves that it couldn't happen here. Well, last week we took another step in that direction.",Cut in penalty rates another win for 'bizonomics',link,http://www.smh.com.au/business/the-economy/cut-in-penalty-rates-another-win-for-bizonomics-20170226-gulhuo.html,2017-02-26 19:20:00,391,54,77,262,0,1,2,49,77
104598631263_10155240483196264,"Writer and photographer Bill Hayes reflects on a joyous, unexpected love affair with neurologist Oliver Sacks – and with his adopted home of New York City.

Via Good Weekend Magazine",Bill Hayes: My unexpected love affair with Oliver Sacks,link,http://www.smh.com.au/good-weekend/bill-hayes-my-unexpected-love-affair-with-neurologist-oliver-sacks-20170222-guiko6.html,2017-02-26 19:00:01,60,5,5,47,10,0,2,0,1
104598631263_10155240589726264,"Malcolm Turnbull described Tony Abbott's ""outburst"" last week as a calculated and deliberate attack to undermine confidence in the Coalition.",Malcolm Turnbull accuses Tony Abbott of sabotaging government amid poll slump,link,http://www.smh.com.au/federal-politics/political-news/malcolm-turnbull-accuses-tony-abbott-of-sabotaging-government-amid-poll-slump-20170226-gulweb.html,2017-02-26 18:40:00,190,131,40,78,3,4,98,1,6
104598631263_10155240424331264,"Huge increases in utility prices are adding to the pressure on Australia's major supermarket chains as they seek to balance rising power, water and wages bills with sagging profitability.",Even big retailers are hit hard by electricity bills,link,http://www.smh.com.au/business/retail/keeping-the-lights-on-ranks-among-retails-top-challenges-20170221-guht9s.html,2017-02-26 18:20:00,37,48,8,30,1,0,5,0,1
104598631263_10155240434916264,You can finally check when you will get the NBN and what sort of technology you will be receiving.,These are the Sydney suburbs getting the NBN by June,link,http://www.smh.com.au/business/consumer-affairs/nbn-releases-tool-to-tell-you-when-you-get-the-nbn-and-the-type-of-technology-20170224-gukphs.html,2017-02-26 18:00:01,46,40,16,30,1,0,6,0,9
104598631263_10155240384081264,Anyone up for a game of Snake?,Nokia's iconic 3310 makes a comeback,video,https://www.facebook.com/sydneymorningherald/videos/10155240384081264/,2017-02-26 17:41:13,209,41,121,185,15,3,6,0,0
104598631263_10155240294391264,"There are now about 14 million duplicate super accounts, meaning potentially millions of Australians are paying for multiple insurance policies on which they will only be able to claim from one.","The $1.96b wasted on worthless, junk insurance",link,http://www.smh.com.au/comment/many-of-us-dont-even-know-we-have-life-insurance-often-its-worthless-20170224-gul0ow.html,2017-02-26 17:20:52,59,18,24,40,1,6,1,0,11
104598631263_10155240101716264,"Comment: It's not entitlement to think it's a problem if the typical household can't afford a typical home. It's not entitlement to think that access to jobs and schools, not to mention social connection with family and friends, need to be part of the equation.",Today's housing crisis is worse than the 17pc home loans of the 1980s,link,http://www.smh.com.au/money/borrowing/todays-housing-crisis-is-worse-than-the-17pc-home-loans-of-the-1980s-20170224-gukd59.html,2017-02-26 16:49:43,497,56,88,425,4,6,0,41,21
104598631263_10155240137836264,"We take a peek at the nine films nominated for the Academy Award for Best Picture, sharing 59 nominations between them.",Oscars 2017 Best Picture guide,video,https://www.facebook.com/sydneymorningherald/videos/10155240137836264/,2017-02-26 16:20:00,25,13,11,25,0,0,0,0,0
104598631263_10155240113496264,"Ahmed Fahour is stepping out the door at Australia Post in July, but it will take another decade for the organisation to deliver his final package.",Ahmed Fahour's last big payout from Australia Post will take a decade to deliver,link,http://www.smh.com.au/business/cbd/ahmed-fahours-last-big-payout-from-australia-post-will-take-a-decade-to-deliver-20170222-guinq3.html,2017-02-26 16:00:03,121,61,7,37,2,8,15,2,57
104598631263_10155240156201264,"All high-income Australians would pay the 1 to 1.5 per cent Medicare levy surcharge under a budget proposal that would raise $4 billion per year, more than six times the net amount saved in the first Turnbull budget.",All high earners to pay Medicare levy surcharge under budget proposal,link,http://www.smh.com.au/federal-politics/political-news/all-high-earners-to-pay-medicare-levy-surcharge-under-budget-proposal-20170226-gull01.html,2017-02-26 15:40:40,825,192,91,662,55,5,6,2,95
104598631263_10155240136336264,"It is the battle between a businessman who lost a billion-dollar birthright and his family, who didn't.",'False information' cost businessman billions,link,http://www.smh.com.au/business/perth-businessman-in-court-battle-for-billiondollar-mining-birthright-20170225-gulfib.html,2017-02-26 15:20:00,17,6,0,11,0,4,0,2,0
104598631263_10155240048551264,A submission to the Australian Human Rights Commission alleges there have been just six expulsions in the past five years despite more than 500 official complaints.,Sex assaults on campuses 'actively covered up',link,http://www.smh.com.au/national/education/devastating-report-shows-universities-are-failing-students-20170222-guj84k.html,2017-02-26 15:01:05,215,21,23,96,0,5,0,20,94
104598631263_10155240064086264,Plus a battery life of 30 days.,The Nokia 3310 is back - and so is Snake,link,http://www.smh.com.au/technology/mobiles/nokia-3310-a-new-version-of-the-classic-mobile-phone-released-20170226-gulswu.html,2017-02-26 14:39:57,2861,479,384,2603,106,114,34,4,0
104598631263_10155240019856264,"Actor Bill Paxton has died, aged 61, from complications of surgery.","Actor Bill Paxton, known for roles in Big Love, Twister, dies at 61",link,http://www.smh.com.au/entertainment/movies/actor-bill-paxton-known-for-roles-in-big-love-titanic-dies-at-61-20170226-gulsoe.html,2017-02-26 14:22:10,1159,126,182,241,9,83,1,823,2
104598631263_10155238439216264,"Billionaire Warren Buffett went out of his way to give credit to a ""tide of talented and ambitious immigrants"" in highlighting another stellar year for his company.","Buffett praises immigrants, lashes 'monkey' money managers",link,http://www.smh.com.au/business/markets/buffett-praises-immigrants-lashes-monkey-money-managers-20170226-gulkje.html,2017-02-26 14:00:02,129,16,3,119,9,0,0,0,1
104598631263_10155237297481264,"Comment: In a modern age when one in three Australian marriages end in divorce, why would Nine feel the need to shield Stefanovic's new relationship from view?",Coincidence? Karl Stefanovic off Today after new girlfriend revealed,link,http://www.smh.com.au/lifestyle/celebrity/coincidence-karl-stefanovic-off-today-after-new-girlfriend-jasmine-yarbrough-revealed-20170222-guizsp.html,2017-02-26 12:00:01,191,201,6,146,0,11,29,2,3
104598631263_10155237442831264,"""I think that it is never good to show the smallest defiance toward an allied country. I wouldn't do it with the United States and I'm urging the US president not to do it with France,"" Francois Hollande said.",French President hits back at Donald Trump over Paris comments,link,http://www.smh.com.au/world/french-president-francois-hollande-hits-back-at-donald-trump-over-paris-comments-20170225-gulefv.html,2017-02-26 10:00:00,250,40,20,226,5,3,14,1,1
104598631263_10155238093431264,"Australia wanted the United Nations to play a bigger role in the reconstruction of Iraq after the 2003 invasion but was rebuffed by the Bush administration, a declassified report reveals.",Howard wanted UN option - but Bush's US said no,link,http://www.smh.com.au/federal-politics/political-news/australia-wanted-bigger-united-nations-role-in-postsaddam-iraq-declassified-report-reveals-20170224-gukyes.html,2017-02-26 08:00:01,56,27,6,39,0,4,2,7,4
104598631263_10155238964446264,The parents of eight children want to discuss with Trump the effect of his decision to withdraw federal guidance explaining what the nation's public schools must do to protect transgender students.,'We do not stop': Transgender parents want to meet face to face with Donald Trump,link,http://www.smh.com.au/world/parents-of-transgender-children-request-meeting-with-trump-devos-sessions-20170226-gulgpx.html,2017-02-26 06:30:00,45,56,4,30,5,2,4,2,2
104598631263_10155237310561264,"Sweden has suddenly become a proxy battleground in the culture wars. Europe correspondent Nick Miller reports from Malmo, Sweden.",Sweden culture wars,video,https://www.facebook.com/sydneymorningherald/videos/10155237310561264/,2017-02-26 06:00:00,79,31,10,64,4,2,3,6,0
104598631263_10155237480956264,"Five years after Labor's leading lights had spectacularly lined up to explain why they ended Kevin Rudd's idiosyncratic prime ministership, the same movie was playing again, writes Mark Kenny.",Tony Abbott is Kevin Rudd without the popularity,link,http://www.smh.com.au/federal-politics/political-opinion/tony-abbott-is-kevin-rudd-without-the-popularity-20170224-gukefc.html,2017-02-26 05:30:00,546,90,49,359,3,3,167,2,12
104598631263_10155237423251264,"He was the love of her life - ""best friend and soul mate"" - and he was brutally murdered with a pool cue after trying to break up a fight in a South African bar.",Aussie woman mourns partner murdered with a pool cue,link,http://www.smh.com.au/victoria/melbourne-woman-mourns-partner-brutally-killed-with-pool-cue-in-south-africa-20170225-gul75k.html,2017-02-26 05:00:00,273,20,7,67,1,3,0,183,19
104598631263_10155238249116264,The sodden and cool end of February masks Sydney's record-breaking summer and the likelihood that autumn will also be unusually warm and dry. Peter Hannam reports.,Soggy end to summer masks a season of heat records,link,http://www.smh.com.au/environment/weather/sydney-weather-soggy-end-to-summer-masks-a-season-of-heat-records-20170223-gujyb8.html,2017-02-26 04:40:00,38,10,4,32,1,4,0,1,0
